,cat1,cat10,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,favorite_count,hour,image,level,nadj,nadv,nemoji,nlevel,nword,orginal,padj,padv,pemoji,plevel,pnoun,punc1,punc2,punc3,pword,question,result,retweets_count,sarcasm,sentiment,tweet_id,url,user_name
1579,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155710540603199488,0,nathan_tryon
1580,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,2,1,0,1,2,0,0,0,3,0,0,36835,0,1,1153131897763127296,0,_bellaagesen
1581,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,-1,0,-1,1,0,0,0,0,0,1,0,0,0,1,0,0,45945,0,-1,1153131759271387136,0,_bellaagesen
1582,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1155536119137783808,0,theBuffestNeko
1583,0,0,0,1,0,0,0,0,0,0,0,17,1,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,3,0,0,3154,0,1,1155535845212020736,0,theBuffestNeko
1584,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,-1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1155648402132094976,1,YungCholesterol
1585,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1153353325934460928,1,YungCholesterol
1586,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,-1,0,-1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,-1,1154479228492091392,1,e_feeb
1587,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,-1,0,-1,1,1,0,0,0,0,4,0,1,1,1,1,0,0,0,-1,1154412760433856512,0,e_feeb
1588,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,1,0,1,0,1,2,0,0,2,1,0,0,0,0,1,1155783398700605440,0,noire_of_ylisse
1589,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,1,1,1,0,1,5,2,0,6,1,0,0,0,0,1,1155768300728721408,0,noire_of_ylisse
1590,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1155809424709001216,0,malyeumi
1591,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155806601510436864,0,malyeumi
1592,0,0,0,1,0,0,0,0,0,0,1,18,0,0,0,-1,0,-1,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,-1,1155548958623707136,0,Le_phill
1593,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155547460481277952,0,Le_phill
1594,0,0,0,0,0,0,0,0,0,0,2,17,0,0,1,-1,0,-1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,902945850242019328,1,TweeterBham
1595,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,902943368921194496,1,TweeterBham
1596,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153726805947248640,0,rrreshma_raj
1597,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1153726310956449792,0,rrreshma_raj
1598,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,-1,0,-1,0,0,0,0,0,0,2,0,0,0,0,0,0,52983,0,-1,1155746977247719424,1,crystal_berumen
