,cat1,cat10,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,favorite_count,hour,image,nadj,nadv,nemoji,nlevel,nword,orginal,padj,padv,pemoji,plevel,pnoun,punc1,punc2,punc3,pword,question,retweets_count,sarcasm,sentiment,url
1330,0,0,0,1,0,0,0,0,0,1,0,16,0,0,0,2,0,1,1,0,1,0,1,2,0,0,0,1,0,20,0,1,0
1331,0,0,0,0,0,0,0,0,0,0,3,26,0,0,0,0,0,1,2,0,0,0,0,3,0,0,0,1,0,0,0,0,1
1332,0,0,0,0,0,0,0,0,0,0,19,16,0,0,0,0,0,3,2,2,2,0,2,0,2,0,0,3,0,17,0,2,2
1333,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,1,2,1,1,0,1,1,0,1,0,1,1,0,0,1,1
1334,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,22,0,0,0
1335,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,1,0,2,1,0,1,0,0,0,0,1,0,52,0,1,2
1336,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,2,1,1,1,0,1,3,3,0,0,2,0,74,0,1,0
1337,0,0,0,0,0,0,1,0,0,0,0,20,0,0,0,1,0,2,1,1,1,0,1,2,0,0,0,2,0,1,0,1,0
1338,0,0,0,0,0,0,1,0,0,0,0,12,0,0,-1,0,-1,0,1,0,0,0,0,1,2,2,0,0,1,75237,0,-1,2
1339,0,1,0,0,0,0,0,0,0,1,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4855,0,0,0
